label,count,mean,std,min,25%,50%,75%,max
case,248770.0,1.7129191926128295,0.8517587200789065,-2.006430730302782,1.1375361430814672,1.71057708081528,2.286415657392071,5.564823928929637
control,248793.0,0.6931743793306177,0.8515545633383246,-3.3678872866793053,0.11804206905773815,0.6946452456675115,1.2659086710621166,4.767881932827756
